materials  E_TS  E_CO  energy_M_O CN_Cu  CN_CO  CN_O  
0  1.07  -1.68  2.61262  1  1  1
1  1.39  -1.61  2.61262  1  1  2
2  1.5  -1.54  2.61262  1  1  2
3  1.36  -1.32  1.75  1  1  3
4  1.23  -1.15  1.75  2  1  2
5  1.23  -1.15  1.75  1  1  3
6  0.91  -0.93  1.75  1  1  3
7  0.84  -0.92  1.75  1  1  3
8  1.16  -0.92  2.61262  1  1  3
9  1.42  -0.85  1.75  1  0  4
10  1.07  -0.48  2.61262  3  0  4
11  0.91  -0.47  2.61262  2  1  4
12  0.72  -0.38  2.61262  2  1  3
13  0.61  -0.38  1.75  1  0  3
14  0.5  -0.37  1.75  3  0  4
15  0.83  -0.37  2.61262  3  0  4
16  0.56  -0.35  1.75  1  0  4
17  0.67  -0.34  2.61262  2  1  3
18  0.5  -0.28  1.75  1  0  4
19  0.5  -0.28  1.75  1  0  4
20  0.31  -0.26  2.61262  1  0  4
21  0.58  -0.11  2.61262  1  0  4
22  0.26  -0.08  1.75  1  0  4
23  0.56  -0.03  1.75  2  0  4
24  0.01  -0.03  2.61262  2  0  4
